#==============================================================================
#
# シーンデータスクリプト
# Author : masayasu wakita
#
#==============================================================================
SCRIPT

FIELDSET
	POS = 0.00 0.00 0.00
	VERTEXINFO
		-1240.66, -50.00, -921.96, 0.00, 1.00, 0.40, 1.00
		-1240.66, 500.00, -921.96, 0.00, 1.00, 0.40, 1.00
		-624.57, -50.00, 4094.74, 0.00, 1.00, 0.40, 1.00
		-624.57, 500.00, 4094.74, 0.00, 1.00, 0.40, 1.00
		72.01, -50.00, 6328.38, 0.00, 1.00, 0.40, 1.00
		72.01, 500.00, 6328.38, 0.00, 1.00, 0.40, 1.00
		2619.03, -50.00, 6655.18, 0.00, 1.00, 0.40, 1.00
		2619.03, 500.00, 6655.18, 0.00, 1.00, 0.40, 1.00
		3201.19, -50.00, 7431.68, 0.00, 1.00, 0.40, 1.00
		3201.19, 500.00, 7431.68, 0.00, 1.00, 0.40, 1.00
		3059.78, -50.00, 8382.97, 0.00, 1.00, 0.40, 1.00
		3059.78, 500.00, 8382.97, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, 500.00, 8786.26, 0.00, 1.00, 0.40, 1.00
		902.24, -50.00, 8786.26, 0.00, 1.00, 0.40, 1.00
